t,ksd,seed,type
0,0.008573203,0,off-target
0,0.013200391,0,target
1,0.008649735,0,off-target
1,0.015087632,0,target
2,0.0077948906,0,off-target
2,0.013738336,0,target
3,0.008489969,0,off-target
3,0.014895777,0,target
4,0.008487985,0,off-target
4,0.014977234,0,target
5,0.008265188,0,off-target
5,0.016567547,0,target
6,0.007769375,0,off-target
6,0.01374466,0,target
7,0.008208578,0,off-target
7,0.014262043,0,target
8,0.0069738436,0,off-target
8,0.013951836,0,target
9,0.007943219,0,off-target
9,0.018379332,0,target
10,0.007435891,0,off-target
10,0.017015636,0,target
11,0.009768641,0,off-target
11,0.018201398,0,target
12,0.011069031,0,off-target
12,0.015056719,0,target
13,0.008254203,0,off-target
13,0.018987691,0,target
14,0.009373562,0,off-target
14,0.022137454,0,target
15,0.009427172,0,off-target
15,0.011862383,0,target
16,0.009353219,0,off-target
16,0.013215461,0,target
17,0.008067422,0,off-target
17,0.011444922,0,target
18,0.0071676876,0,off-target
18,0.012267797,0,target
19,0.0084016565,0,off-target
19,0.008722336,0,target
0,0.0193605,1,off-target
0,0.0064277733,1,target
1,0.017433,1,off-target
1,0.005810703,1,target
2,0.017090546,1,off-target
2,0.006336918,1,target
3,0.015136703,1,off-target
3,0.005260535,1,target
4,0.018974546,1,off-target
4,0.0054560546,1,target
5,0.016299875,1,off-target
5,0.0065140193,1,target
6,0.01621111,1,off-target
6,0.005942871,1,target
7,0.020226577,1,off-target
7,0.0041814335,1,target
8,0.016800843,1,off-target
8,0.004838633,1,target
9,0.017308766,1,off-target
9,0.0045852424,1,target
10,0.018461172,1,off-target
10,0.004527336,1,target
11,0.024567781,1,off-target
11,0.005382996,1,target
12,0.016120562,1,off-target
12,0.0057791485,1,target
13,0.016781,1,off-target
13,0.006555789,1,target
14,0.016144374,1,off-target
14,0.0059155193,1,target
15,0.015793016,1,off-target
15,0.005382965,1,target
16,0.014462781,1,off-target
16,0.00760857,1,target
17,0.014179625,1,off-target
17,0.0069130273,1,target
18,0.019838562,1,off-target
18,0.0081121605,1,target
19,0.01958514,1,off-target
19,0.007902285,1,target
0,0.012395516,2,off-target
0,0.016284605,2,target
1,0.013924265,2,off-target
1,0.015023473,2,target
2,0.014451484,2,off-target
2,0.0129842535,2,target
3,0.013315407,2,off-target
3,0.012180503,2,target
4,0.012464813,2,off-target
4,0.013315492,2,target
5,0.013192156,2,off-target
5,0.012628961,2,target
6,0.013597391,2,off-target
6,0.011191118,2,target
7,0.014962719,2,off-target
7,0.011426418,2,target
8,0.01419061,2,off-target
8,0.011160688,2,target
9,0.017342594,2,off-target
9,0.011045852,2,target
10,0.014864969,2,off-target
10,0.01270502,2,target
11,0.012798609,2,off-target
11,0.011637406,2,target
12,0.012074953,2,off-target
12,0.011124164,2,target
13,0.012504625,2,off-target
13,0.010782305,2,target
14,0.012470234,2,off-target
14,0.010443527,2,target
15,0.012653375,2,off-target
15,0.0106844725,2,target
16,0.013130046,2,off-target
16,0.012091375,2,target
17,0.015882406,2,off-target
17,0.010444883,2,target
18,0.012905594,2,off-target
18,0.0109115,2,target
19,0.014577797,2,off-target
19,0.010665043,2,target
0,0.019069938,3,off-target
0,0.00895343,3,target
1,0.019236688,3,off-target
1,0.008431343,3,target
2,0.018149907,3,off-target
2,0.0067939376,3,target
3,0.0151440315,3,off-target
3,0.00886093,3,target
4,0.015885359,3,off-target
4,0.0073038596,3,target
5,0.013251219,3,off-target
5,0.008641183,3,target
6,0.014463468,3,off-target
6,0.009030426,3,target
7,0.013711578,3,off-target
7,0.010490445,3,target
8,0.014462703,3,off-target
8,0.00741925,3,target
9,0.014718922,3,off-target
9,0.008884035,3,target
10,0.013543078,3,off-target
10,0.009507031,3,target
11,0.0134594375,3,off-target
11,0.0096209375,3,target
12,0.013253359,3,off-target
12,0.008179024,3,target
13,0.012483406,3,off-target
13,0.007448484,3,target
14,0.012464703,3,off-target
14,0.007345824,3,target
15,0.013497656,3,off-target
15,0.00981539,3,target
16,0.014379953,3,off-target
16,0.009881836,3,target
17,0.015811859,3,off-target
17,0.008896199,3,target
18,0.013869313,3,off-target
18,0.0075349454,3,target
19,0.013504875,3,off-target
19,0.007095086,3,target
0,0.009176578,4,off-target
0,0.013289586,4,target
1,0.00886911,4,off-target
1,0.013787145,4,target
2,0.01022725,4,off-target
2,0.011852012,4,target
3,0.011167438,4,off-target
3,0.012596012,4,target
4,0.013188078,4,off-target
4,0.011053945,4,target
5,0.010463641,4,off-target
5,0.012212313,4,target
6,0.011141812,4,off-target
6,0.014639179,4,target
7,0.009869375,4,off-target
7,0.017041117,4,target
8,0.010675297,4,off-target
8,0.016378485,4,target
9,0.010866093,4,off-target
9,0.014569406,4,target
10,0.0104547655,4,off-target
10,0.018149957,4,target
11,0.011570203,4,off-target
11,0.010844,4,target
12,0.013312765,4,off-target
12,0.013738977,4,target
13,0.015805485,4,off-target
13,0.013036973,4,target
14,0.01576825,4,off-target
14,0.013111774,4,target
15,0.02079911,4,off-target
15,0.009961891,4,target
16,0.01728125,4,off-target
16,0.011644214,4,target
17,0.014075875,4,off-target
17,0.013576742,4,target
18,0.014977297,4,off-target
18,0.013834789,4,target
19,0.012791406,4,off-target
19,0.011740406,4,target
